,path,label
0,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103265.png,0
1,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103266.png,0
2,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103267.png,0
3,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103268.png,0
4,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103269.png,0
5,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103270.png,0
6,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103271.png,0
7,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103272.png,0
8,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103273.png,0
9,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103274.png,0
10,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103275.png,0
11,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103276.png,0
12,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103279.png,0
13,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103280.png,0
14,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103282.png,0
15,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103283.png,0
16,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103284.png,0
17,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103305.png,0
18,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103306.png,0
19,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103307.png,0
20,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103308.png,0
21,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103310.png,0
22,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103312.png,0
23,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103313.png,0
24,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103314.png,0
25,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103315.png,0
26,E:\Nikhil Spring 22\archive\Hindi-MNIST\train\0\103316.png,0
